#Transcript position	Transcript coverage profile
0.0	133921.7964721186
1.0	137598.568170777
2.0	138947.29138171533
3.0	139787.53230338616
4.0	141935.42975332547
5.0	144774.25020144583
6.0	147110.85360288582
7.0	149533.7049778939
8.0	152549.81993035055
9.0	154515.86203805488
10.0	158814.4499640842
11.0	162443.2536950789
12.0	166302.41078042355
13.0	168027.34073255
14.0	170568.56155374713
15.0	175698.98915409646
16.0	176010.0990426069
17.0	176405.755552183
18.0	177372.42164541708
19.0	179573.98049342964
20.0	182955.03303774097
21.0	185553.0189897809
22.0	188348.4144964358
23.0	192601.8914270649
24.0	196418.813595022
25.0	199762.5840279692
26.0	204010.86999835516
27.0	208173.82468327947
28.0	211195.42325842037
29.0	213390.79176498821
30.0	214988.7147686639
31.0	220568.40894680508
32.0	222825.18653416302
33.0	225276.21542538426
34.0	228383.88930003002
35.0	232818.5141450265
36.0	233405.67898754403
37.0	233656.0699262545
38.0	231390.38463674515
39.0	232095.1340083582
40.0	235119.5543652972
41.0	236081.87115576043
42.0	240115.75540135347
43.0	242339.4621272184
44.0	244127.8007759829
45.0	247318.46719580053
46.0	249631.91594600648
47.0	251458.1020018596
48.0	254703.79563093558
49.0	255963.2619216514
50.0	259015.3467133259
51.0	260516.01156722644
52.0	262414.9688731053
53.0	263626.77243295696
54.0	264659.40086041647
55.0	267577.0882103526
56.0	270673.13361673197
57.0	273335.98915319063
58.0	275133.60331738216
59.0	276725.0231421102
60.0	278911.63874999154
61.0	281868.2660855845
62.0	285369.92530300183
63.0	287058.8403938798
64.0	288659.8948311954
65.0	290929.0127905925
66.0	293331.0286386467
67.0	296223.268046904
68.0	296983.4678661866
69.0	299539.36587218434
70.0	302822.7629243196
71.0	306909.9271147976
72.0	313521.8075197193
73.0	314165.4197288521
74.0	314803.1910974942
75.0	317592.5879199076
76.0	319909.0531514511
77.0	319979.2560977974
78.0	321698.20250651863
79.0	322315.39906634344
80.0	322679.1281236091
81.0	324058.5389875671
82.0	322732.674373767
83.0	316716.9347289
84.0	311244.06380071095
85.0	306919.02070924646
86.0	296173.0704964785
87.0	288926.6278329054
88.0	280172.79017425183
89.0	264718.6364157441
90.0	250883.70726398364
91.0	234912.48053422614
92.0	216566.70950526974
93.0	197392.69292772675
94.0	176402.95353844625
95.0	151770.20549778308
96.0	119709.8916576362
97.0	84416.00194361842
98.0	48005.95672809076
99.0	14902.45676767457
