#Transcript position	Transcript coverage profile
0.0	33410.246527263924
1.0	33513.07557384116
2.0	32105.169895322466
3.0	30750.904879715294
4.0	31019.414110727852
5.0	31143.35868497816
6.0	31024.13663591432
7.0	31603.26968619275
8.0	32075.37920803547
9.0	31812.030258882547
10.0	33521.440256819995
11.0	35058.42119821576
12.0	36497.119768832854
13.0	36533.88308702912
14.0	37375.49806027845
15.0	39352.60265372944
16.0	38092.26595687218
17.0	37463.3679738795
18.0	36901.76820200295
19.0	37813.34321520008
20.0	38617.04905047116
21.0	38976.84835189673
22.0	39504.911438217496
23.0	41080.659703163234
24.0	42693.48238767221
25.0	43804.68877173573
26.0	45460.873865069094
27.0	46568.12765666218
28.0	47510.17308955183
29.0	47941.93111522309
30.0	48670.39582546071
31.0	51747.91032877615
32.0	52290.927407659576
33.0	53411.46828987943
34.0	54388.1125496718
35.0	56195.284429009575
36.0	56033.131456828116
37.0	55118.581669276195
38.0	52830.283864814744
39.0	52163.42892009841
40.0	53275.2967260894
41.0	53414.81696502771
42.0	55477.29615636748
43.0	56214.136745812655
44.0	56672.992349054584
45.0	58665.09196885588
46.0	59085.785668393466
47.0	59489.212552818324
48.0	60774.17860284908
49.0	61359.01683163157
50.0	62963.1868270442
51.0	63252.020684912866
52.0	63330.1627250082
53.0	63221.46876409633
54.0	63413.10343421767
55.0	64259.302850080225
56.0	64690.98764701123
57.0	65357.57509178893
58.0	65195.261539809784
59.0	65312.69365582902
60.0	66014.00694691786
61.0	67379.6585217751
62.0	68381.40871395622
63.0	68432.86507919035
64.0	68605.93855898012
65.0	69248.47561515393
66.0	69635.21130493066
67.0	70723.90722181376
68.0	70871.64852106174
69.0	71788.1815318129
70.0	73249.37777593684
71.0	74880.63845389
72.0	77440.58441636426
73.0	76905.44062939474
74.0	76241.89684225433
75.0	76638.73797898351
76.0	76935.47225541977
77.0	76095.06883485582
78.0	76921.91900641679
79.0	76807.63977409201
80.0	76931.19950031229
81.0	77801.09806599961
82.0	75881.48524115473
83.0	71380.85546137547
84.0	68746.3985666649
85.0	67089.71754356987
86.0	61559.6054685755
87.0	59777.72430473465
88.0	57033.75606944737
89.0	51346.39506968956
90.0	47498.748804324205
91.0	42666.050040997005
92.0	37653.82248616777
93.0	33012.306189883384
94.0	28408.429106114607
95.0	23198.96278211735
96.0	15913.832975605013
97.0	9426.76484570404
98.0	5522.642785789871
99.0	2064.834702761898
