#Transcript position	Transcript coverage profile
0.0	1169.2238940915033
1.0	1221.5179017925484
2.0	1251.6985280447332
3.0	1277.9966049335683
4.0	1288.232082913638
5.0	1320.3603994023074
6.0	1346.1196001676665
7.0	1355.232179627854
8.0	1376.6898517107022
9.0	1363.5201516004045
10.0	1359.3415122671242
11.0	1454.1881341860476
12.0	1550.5315056715729
13.0	1600.5194387554798
14.0	1687.958107610812
15.0	1741.904312435302
16.0	1762.8392893270027
17.0	1764.4524988633425
18.0	1756.7700942197782
19.0	1750.4807775172503
20.0	1768.0566442047855
21.0	1779.728073102221
22.0	1786.0034230530384
23.0	1836.9654609212496
24.0	1868.795510032644
25.0	1906.6803324804437
26.0	2012.276639089581
27.0	2054.6620105700963
28.0	2106.5852203506915
29.0	2102.583409858312
30.0	2111.0895723800945
31.0	2125.6592184235124
32.0	2121.466161959583
33.0	2136.3226447759694
34.0	2181.006238165072
35.0	2223.2478671285103
36.0	2269.015134652187
37.0	2282.834749341717
38.0	2263.734095707223
39.0	2277.7542043245776
40.0	2322.969693698066
41.0	2290.423215129286
42.0	2332.184721025028
43.0	2338.934124989379
44.0	2318.720520737922
45.0	2314.347989461905
46.0	2325.2153016835896
47.0	2351.2585139841112
48.0	2343.8298977599165
49.0	2283.3202287869954
50.0	2302.3876710834174
51.0	2275.0638207810966
52.0	2220.442701022295
53.0	2202.349303875386
54.0	2180.055632181578
55.0	2184.9706338936626
56.0	2233.346678781054
57.0	2265.979514807556
58.0	2273.0354103389586
59.0	2263.667079099129
60.0	2259.0117453270686
61.0	2264.087010415481
62.0	2251.708714981331
63.0	2278.0287201140845
64.0	2284.3258513883106
65.0	2286.0261534080782
66.0	2303.782137106408
67.0	2336.5026841979948
68.0	2332.8684214846685
69.0	2409.334477711487
70.0	2417.799620253874
71.0	2437.5258768440053
72.0	2464.7149837727015
73.0	2462.4059249189854
74.0	2455.897266258598
75.0	2463.9631149436705
76.0	2495.981840562302
77.0	2536.356842122542
78.0	2577.173178767191
79.0	2558.5332592026134
80.0	2551.7660991934017
81.0	2607.6974318757607
82.0	2579.9925663561694
83.0	2529.8712540755146
84.0	2425.802647296189
85.0	2355.9955385606804
86.0	2191.329871950301
87.0	2086.913635760579
88.0	2000.5516907916053
89.0	1879.3231420060781
90.0	1736.7921550045885
91.0	1596.6882982949592
92.0	1491.2648793665815
93.0	1338.7004516750371
94.0	1171.6826740452773
95.0	917.3987899455119
96.0	653.1078257371233
97.0	483.0824310924424
98.0	290.022831524928
99.0	80.78859023465473
