#Transcript position	Transcript coverage profile
0.0	9003.266831398016
1.0	9414.674550681488
2.0	9724.31862788886
3.0	9951.619197168786
4.0	10164.739299160612
5.0	10447.50961631802
6.0	10672.046664809732
7.0	10929.462125263834
8.0	11195.838538579092
9.0	11383.640013459357
10.0	11603.691244028594
11.0	11892.459253161725
12.0	12225.738238154187
13.0	12443.702220121779
14.0	12645.943410807908
15.0	12837.301957696827
16.0	12955.37982153363
17.0	13072.023391471443
18.0	13124.493889485086
19.0	13194.925121479715
20.0	13337.106483617888
21.0	13466.607766834612
22.0	13605.375739292698
23.0	13770.338061095115
24.0	13909.034343815485
25.0	14054.487978342622
26.0	14272.017877920543
27.0	14461.84751409232
28.0	14586.801057173794
29.0	14660.107679425815
30.0	14744.478839778338
31.0	14870.197696009385
32.0	14927.6487693149
33.0	15021.465634150127
34.0	15168.899173198957
35.0	15351.21123907562
36.0	15416.762653140493
37.0	15466.503295619805
38.0	15409.723182427286
39.0	15454.070861313432
40.0	15531.696740669337
41.0	15559.286869932468
42.0	15664.580095892099
43.0	15666.095680546234
44.0	15669.09905418561
45.0	15680.21382993973
46.0	15747.80703061557
47.0	15767.745702469963
48.0	15801.50167631498
49.0	15718.156391504706
50.0	15750.806730358354
51.0	15696.432303494792
52.0	15681.041566516711
53.0	15656.076436553632
54.0	15626.631199702166
55.0	15649.036180421479
56.0	15737.4588677864
57.0	15789.98510985704
58.0	15833.8548753968
59.0	15808.274325096281
60.0	15804.355988861507
61.0	15856.941381354087
62.0	15880.17530075657
63.0	15957.562446476168
64.0	16001.058987186047
65.0	15985.08379683102
66.0	16060.485164554797
67.0	16128.506746875899
68.0	16128.201638382232
69.0	16242.106917935562
70.0	16268.243446163484
71.0	16333.191853548982
72.0	16424.077148691253
73.0	16452.41234478254
74.0	16484.5425368056
75.0	16561.73524807486
76.0	16628.906720520343
77.0	16710.209376343184
78.0	16742.086678275908
79.0	16655.015752531443
80.0	16560.517725459882
81.0	16530.48681489593
82.0	16422.965921264506
83.0	16214.663721735487
84.0	15969.474451855835
85.0	15771.9524105357
86.0	15305.794445658381
87.0	14888.159436337008
88.0	14379.150793635885
89.0	13677.134849987046
90.0	12901.452815881403
91.0	12065.880485324182
92.0	11148.635052462832
93.0	10087.16616697099
94.0	8981.902280445585
95.0	7686.724322636003
96.0	6187.908976082221
97.0	4539.777664148634
98.0	2716.6497555456435
99.0	861.305931531904
