#Transcript position	Transcript coverage profile
0.0	80388.7557317701
1.0	82638.87793449278
2.0	83471.20848547391
3.0	84204.0011004253
4.0	85142.70493801132
5.0	86690.17281618435
6.0	88067.01304032044
7.0	89582.02238581284
8.0	90710.83335856338
9.0	91505.32072247512
10.0	93459.55636922653
11.0	95269.62722049184
12.0	97248.1213704173
13.0	98180.41787678257
14.0	99516.24782751226
15.0	101666.87169275254
16.0	101194.4059851089
17.0	100812.20410996256
18.0	100637.43435257798
19.0	101276.32348011291
20.0	102584.62906586348
21.0	103274.7950895002
22.0	104570.63785749298
23.0	106383.20382369847
24.0	108014.5151386988
25.0	109216.39465136497
26.0	111084.56226191863
27.0	112529.01757375787
28.0	113411.23014580629
29.0	114142.49851185021
30.0	114400.44800201221
31.0	117152.90351179599
32.0	117972.50076292279
33.0	118964.77113204637
34.0	119973.50534584148
35.0	121802.72252444905
36.0	121903.62012764114
37.0	121595.38290238482
38.0	120582.33799261849
39.0	120704.73769005529
40.0	121759.26030317676
41.0	121841.29064840525
42.0	123460.87757133217
43.0	124239.92846653213
44.0	124914.35634520925
45.0	126132.29448830623
46.0	126586.30778965006
47.0	127040.30476014831
48.0	128058.98562516001
49.0	128155.09607821454
50.0	128619.59701672386
51.0	128968.24802203188
52.0	129530.50587341894
53.0	129571.83253005838
54.0	129840.25201165405
55.0	130744.95713345763
56.0	131579.56529561884
57.0	132474.8385367594
58.0	132888.6181612684
59.0	133244.48556548636
60.0	134192.79540873613
61.0	135305.1278303832
62.0	136370.73805550562
63.0	136823.56934816518
64.0	137542.3420483755
65.0	138109.052196218
66.0	138756.36117081007
67.0	139996.54731465832
68.0	140193.214898346
69.0	141320.92568602503
70.0	142704.68575554757
71.0	144107.14871108788
72.0	146537.36875374074
73.0	146714.30181838226
74.0	146607.16590164407
75.0	147535.15783885552
76.0	148069.41729076015
77.0	147945.59188232306
78.0	148078.6633385545
79.0	148199.1693442489
80.0	147891.11734740724
81.0	147972.61233071308
82.0	146947.5117625353
83.0	144085.8242277602
84.0	141177.0134755268
85.0	139202.8809472882
86.0	133550.20043054636
87.0	129695.4222677514
88.0	125114.24492519883
89.0	117429.7169620876
90.0	110640.86352549531
91.0	102764.21383341911
92.0	93751.11684187617
93.0	84831.36430337442
94.0	74908.68315966755
95.0	63758.367760350775
96.0	50215.360194524685
97.0	35318.946294681155
98.0	20673.214483619187
99.0	6707.710797362569
