#Transcript position	Transcript coverage profile
0.0	15913.804402080568
1.0	16124.354818462285
2.0	15636.254640241048
3.0	15168.739868200444
4.0	15295.931841378793
5.0	15315.619031023685
6.0	15293.091884912745
7.0	15655.28257826834
8.0	15734.407213914934
9.0	15719.363409790676
10.0	16386.315343091253
11.0	17017.40256849957
12.0	17827.77639218726
13.0	17963.354080756733
14.0	18405.284022792548
15.0	19314.85780634702
16.0	18639.879477604423
17.0	18242.275486421815
18.0	17853.533649126308
19.0	18239.877921114192
20.0	18619.706048184376
21.0	18779.424895171836
22.0	19242.242364938345
23.0	20034.749256429608
24.0	20735.505534425916
25.0	21202.97101535876
26.0	21878.13292119423
27.0	22311.755329676947
28.0	22698.241593282506
29.0	22882.042637744617
30.0	23167.59437360026
31.0	24711.161172303382
32.0	25045.412593389923
33.0	25679.375535108487
34.0	26049.054899710747
35.0	26814.539229465063
36.0	26921.53704318126
37.0	26549.470781167234
38.0	25628.538765110945
39.0	25489.393814565377
40.0	26056.322213166877
41.0	26183.156332381204
42.0	27269.190192287126
43.0	27556.573035793463
44.0	27809.396970475
45.0	28582.049020347502
46.0	28470.581837087084
47.0	28584.68124120123
48.0	29075.476491290665
49.0	29138.500841764926
50.0	29593.49492017137
51.0	29848.676776898894
52.0	29934.31781837871
53.0	29801.655083646056
54.0	29893.872938908447
55.0	30289.862479467196
56.0	30413.339290189753
57.0	30729.29402112422
58.0	30592.656634720504
59.0	30620.39407764757
60.0	31087.778513066554
61.0	31799.178185299057
62.0	32068.971739746965
63.0	32000.02311069278
64.0	32143.17967139585
65.0	32257.277567663183
66.0	32422.545444364958
67.0	32819.0232000902
68.0	32861.16014734232
69.0	33448.57161683317
70.0	34085.92096454768
71.0	34670.80357333987
72.0	35655.127410385096
73.0	35327.49906556457
74.0	34932.663985423766
75.0	35062.6832173308
76.0	35205.684783207136
77.0	34880.34489672876
78.0	35107.31809008081
79.0	35035.815973062694
80.0	34957.79663553714
81.0	35357.37959990077
82.0	34649.440023776966
83.0	32703.914215154942
84.0	31529.19720124244
85.0	30545.561016192456
86.0	27835.40329299911
87.0	26855.541622394125
88.0	25281.283908747722
89.0	22643.64718395141
90.0	20844.20101471667
91.0	18647.879828192097
92.0	16239.124673538097
93.0	14189.86899481544
94.0	11959.505111033
95.0	9449.757039028902
96.0	6583.548598763043
97.0	3859.1123527036366
98.0	2465.3626894976865
99.0	912.6705677673463
