#Transcript position	Transcript coverage profile
0.0	1648.639385191563
1.0	1695.4281474960894
2.0	1719.3232695200625
3.0	1738.4265333260423
4.0	1735.4454048372745
5.0	1785.7884175468816
6.0	1822.6510328508402
7.0	1852.9122352285503
8.0	1941.7013432249616
9.0	1935.7471636164732
10.0	1900.9814190062948
11.0	2030.0045229023776
12.0	2181.7469175002107
13.0	2249.204016994081
14.0	2346.490555782525
15.0	2371.3323740862093
16.0	2381.461428969106
17.0	2379.467473903288
18.0	2350.5324210484646
19.0	2310.491862190436
20.0	2336.0202603679245
21.0	2361.9032191369784
22.0	2375.8942775305563
23.0	2432.544914660057
24.0	2458.8617080505155
25.0	2511.7673425755465
26.0	2632.155722327236
27.0	2692.0506305075164
28.0	2760.2857995806658
29.0	2757.4912955681457
30.0	2767.302524593762
31.0	2758.848399487349
32.0	2743.336692422239
33.0	2733.106072870544
34.0	2786.004794578477
35.0	2848.742441179852
36.0	2951.533125133996
37.0	2981.7533018890235
38.0	2961.271187262078
39.0	2990.047449843875
40.0	3046.63110592189
41.0	3033.580495636211
42.0	3048.0552880254622
43.0	3029.2642346793978
44.0	2991.0982819286514
45.0	3008.0806961398594
46.0	3031.8200351858018
47.0	3008.9175020931966
48.0	2999.6233410935038
49.0	2904.9465490764537
50.0	2874.5221078780146
51.0	2812.0768362148947
52.0	2761.349738563696
53.0	2722.564028425991
54.0	2690.350015549353
55.0	2682.709379187841
56.0	2732.4405464828596
57.0	2750.8310772678183
58.0	2735.2031794131058
59.0	2740.014972314937
60.0	2754.118895390002
61.0	2770.9495857464517
62.0	2741.894405564276
63.0	2733.837241411912
64.0	2764.241139842784
65.0	2753.333973513578
66.0	2785.0621170997956
67.0	2801.3813179335866
68.0	2805.991331910037
69.0	2903.600030506153
70.0	2924.7511726421403
71.0	2967.087024867044
72.0	3008.748151424738
73.0	3018.98274192293
74.0	3024.2159536461645
75.0	3058.196758730994
76.0	3099.5210013815067
77.0	3137.627902595528
78.0	3155.3891925219887
79.0	3144.2390358953253
80.0	3088.00085966253
81.0	3094.583470750639
82.0	3044.681786770979
83.0	2959.5752292012853
84.0	2842.9306641293156
85.0	2841.5367252319725
86.0	2726.566360736013
87.0	2620.4789429657426
88.0	2514.438853050234
89.0	2332.6927355585744
90.0	2156.1419599797964
91.0	2027.1135194455642
92.0	1845.931016524826
93.0	1597.10622068
94.0	1386.720814915684
95.0	1061.2432429063226
96.0	730.9144001054971
97.0	519.1819776054673
98.0	319.2787521253765
99.0	98.16872827050481
