#Transcript position	Transcript coverage profile
0.0	9058.536465981306
1.0	9405.50362522394
2.0	9703.259053944745
3.0	9971.109330603795
4.0	10241.114724867162
5.0	10586.325010912411
6.0	10894.382011243437
7.0	11179.790265357733
8.0	11446.599670783382
9.0	11616.351187093444
10.0	11771.995116053848
11.0	12054.00080569176
12.0	12372.379674768677
13.0	12555.94390504937
14.0	12736.401634240654
15.0	12883.132310456345
16.0	13001.070745900155
17.0	13077.405033952284
18.0	13112.151713633173
19.0	13135.56517393837
20.0	13240.60646308523
21.0	13354.634999565278
22.0	13473.302074660856
23.0	13586.088633631034
24.0	13638.936952318489
25.0	13713.431029601099
26.0	13882.219225706147
27.0	14016.423437719626
28.0	14109.177400617
29.0	14129.907890397515
30.0	14171.064151532579
31.0	14250.318744960088
32.0	14227.366523005587
33.0	14237.462597389022
34.0	14350.331509268395
35.0	14455.105857161985
36.0	14487.254397470988
37.0	14507.477830735059
38.0	14459.898085598841
39.0	14489.250143195139
40.0	14530.892717862549
41.0	14512.253927270842
42.0	14531.221651344282
43.0	14532.883906935638
44.0	14508.070883939195
45.0	14521.37259802512
46.0	14545.089246834741
47.0	14548.34866456628
48.0	14557.050743590615
49.0	14432.26536319356
50.0	14422.055353622134
51.0	14381.3566272477
52.0	14296.93607343052
53.0	14206.776303394116
54.0	14159.62706036361
55.0	14146.400646664344
56.0	14183.261355736939
57.0	14213.637423446531
58.0	14214.170371146942
59.0	14194.337882825426
60.0	14165.368596482082
61.0	14158.761962397863
62.0	14157.58643729283
63.0	14204.385430126275
64.0	14232.31783198988
65.0	14216.094910112737
66.0	14253.180875310905
67.0	14292.459266306332
68.0	14253.529432822608
69.0	14308.74644683894
70.0	14301.804899951281
71.0	14355.903111636639
72.0	14426.496089476013
73.0	14428.48406783371
74.0	14457.526705005515
75.0	14512.799266386384
76.0	14547.170275100238
77.0	14601.821324625187
78.0	14607.5254404828
79.0	14563.050383578391
80.0	14482.232004459429
81.0	14458.492840545701
82.0	14349.431612776738
83.0	14187.011235835611
84.0	13974.729388686379
85.0	13810.453096373321
86.0	13449.19377773325
87.0	13098.970040477729
88.0	12692.632401207424
89.0	12080.896984878835
90.0	11405.825420808456
91.0	10723.649007580774
92.0	9963.982344637101
93.0	9090.42801443486
94.0	8185.32031775795
95.0	7095.846386016058
96.0	5805.47706094209
97.0	4351.086061765645
98.0	2626.4231562374534
99.0	830.1556121089845
