#Transcript position	Transcript coverage profile
0.0	51940.17475026887
1.0	51458.169338681015
2.0	49895.993390869844
3.0	49094.02547314133
4.0	50060.47890343977
5.0	51120.4830405649
6.0	52980.62052031186
7.0	56092.9246011382
8.0	56509.168865101055
9.0	56394.738760825225
10.0	57553.68334759115
11.0	58596.864053822326
12.0	61795.361920092495
13.0	63225.304718364794
14.0	64202.95481048723
15.0	66789.22919961523
16.0	62979.692142194515
17.0	61067.05021164533
18.0	57351.36915129323
19.0	57846.24701083543
20.0	59221.19177827659
21.0	60059.516906196084
22.0	61601.78246305273
23.0	63280.24136735182
24.0	64322.30445867451
25.0	65226.3845084819
26.0	66651.46095631568
27.0	67946.46366724509
28.0	69277.1650179911
29.0	69330.95411444777
30.0	69671.96740947482
31.0	75383.04801861069
32.0	77289.96886420189
33.0	78616.78974581051
34.0	79592.84015317856
35.0	82476.03047759536
36.0	84912.48281855664
37.0	85073.23423211942
38.0	81883.74681727808
39.0	81456.66222642406
40.0	82483.82399138117
41.0	82869.50599602415
42.0	88221.67798759861
43.0	89725.80724236587
44.0	90006.63236381077
45.0	90380.25679173201
46.0	89192.96997095493
47.0	90232.63359780348
48.0	91634.2022941347
49.0	93126.49740054755
50.0	95408.04786017217
51.0	96549.76058749377
52.0	97681.16763480882
53.0	98007.6508715083
54.0	98985.6532190078
55.0	101195.41674545899
56.0	99901.4436185366
57.0	100571.11286883913
58.0	99396.45591539492
59.0	99754.73716720784
60.0	102317.28469289315
61.0	105052.4202488596
62.0	106967.70305581177
63.0	105695.64261470908
64.0	106997.75547041417
65.0	108969.2972086708
66.0	110376.31066914159
67.0	111736.17942028781
68.0	112334.20694960548
69.0	112908.36128828485
70.0	115077.39795220311
71.0	117206.30700887486
72.0	118854.1155546566
73.0	118876.51576383135
74.0	117948.37999039984
75.0	118312.90627757947
76.0	117527.07677600157
77.0	115850.10944997736
78.0	114879.52250700611
79.0	114445.33608050876
80.0	113002.95976255873
81.0	112154.46682676641
82.0	110668.97689421123
83.0	104221.7819843827
84.0	98739.99576834751
85.0	95822.65853643889
86.0	84872.41379300901
87.0	80600.6806953558
88.0	74819.16069933286
89.0	65665.51655892673
90.0	58829.35361033928
91.0	52528.780276194084
92.0	44044.85077111735
93.0	39603.72363322831
94.0	31791.939428517733
95.0	25210.519155035017
96.0	17730.09498086451
97.0	9214.91993433242
98.0	6093.691854377477
99.0	2519.398078680816
