#Transcript position	Transcript coverage profile
0.0	119128.63092690024
1.0	121535.39548382678
2.0	122307.69324878237
3.0	123446.79561760549
4.0	125428.3968052573
5.0	128125.82662952527
6.0	131252.98933446853
7.0	135262.00246146903
8.0	136774.643264718
9.0	137807.53501063687
10.0	140347.8653363009
11.0	142827.70279497464
12.0	147360.35885690595
13.0	150053.23823573868
14.0	151758.72031691478
15.0	155965.31192496596
16.0	153257.30558915748
17.0	152067.86048890138
18.0	149496.9043584358
19.0	150595.2384832229
20.0	153049.3003040444
21.0	154682.88175623803
22.0	156985.845344844
23.0	159672.6939162617
24.0	161552.1477039336
25.0	163431.18797861988
26.0	166333.70227962904
27.0	169141.35732290338
28.0	171421.04411154543
29.0	172703.1904165039
30.0	173552.49701575979
31.0	180705.5990042644
32.0	183352.87794200634
33.0	185411.4923795826
34.0	187633.7453181825
35.0	192737.0018378809
36.0	196063.43977919588
37.0	197442.4995593592
38.0	194817.22057712844
39.0	195470.13918708992
40.0	197882.96493072037
41.0	198684.0436324828
42.0	204743.0848422792
43.0	207404.1367870086
44.0	208874.61175172016
45.0	209994.71100464847
46.0	209991.40287568732
47.0	211599.7116006243
48.0	213753.01819890685
49.0	215787.0221679458
50.0	218897.2195976815
51.0	220701.9558307858
52.0	222931.79169485983
53.0	224338.77273275747
54.0	226050.60387728043
55.0	229340.97363275755
56.0	229908.5339757761
57.0	232235.23730931483
58.0	232439.42097555313
59.0	233877.46136789492
60.0	237950.7750333419
61.0	242090.68917831918
62.0	245445.27146046623
63.0	245514.3650809466
64.0	248026.2730507003
65.0	250882.16388182616
66.0	253510.89594340068
67.0	255969.2512769008
68.0	257303.84494809134
69.0	259222.4973267619
70.0	262629.0634911467
71.0	266664.199752373
72.0	270586.3823994895
73.0	272718.82261345815
74.0	273816.050937843
75.0	276459.33614999166
76.0	277595.107364798
77.0	278240.2705028271
78.0	278803.92628449167
79.0	279735.78369709995
80.0	279183.8669767861
81.0	279170.43726501724
82.0	278594.2096902488
83.0	272384.8389000285
84.0	265732.77443511935
85.0	261779.57204551055
86.0	248114.6227245065
87.0	240627.1289973481
88.0	231521.59056627747
89.0	216448.8695571839
90.0	203109.46980142157
91.0	188791.6608968325
92.0	171681.836361076
93.0	156729.76566556556
94.0	136984.02881843792
95.0	116757.02961291047
96.0	92465.99912194269
97.0	63238.65804445412
98.0	36491.79791258803
99.0	11522.177424467247
