#Transcript position	Transcript coverage profile
0.0	59239.446835426555
1.0	59163.85494005628
2.0	57830.61648421948
3.0	57482.9673868641
4.0	59110.07511649964
5.0	60374.56020936153
6.0	62105.59770412513
7.0	64859.343452803936
8.0	65023.69778407624
9.0	65565.94602494918
10.0	66789.2916315165
11.0	68254.37581468618
12.0	71303.48154157818
13.0	72910.10313025214
14.0	74574.88146425837
15.0	77899.93199818498
16.0	74175.69722752865
17.0	72326.19003411899
18.0	69451.11045859681
19.0	70210.70102043144
20.0	72040.46429081286
21.0	73401.49935415636
22.0	75387.98381767474
23.0	77867.3057358233
24.0	80078.65050554142
25.0	81496.81967428121
26.0	83172.67011526134
27.0	84452.71918719099
28.0	85837.72505527563
29.0	86483.00806261318
30.0	86863.43402762499
31.0	92534.15938929413
32.0	95344.4853428072
33.0	96804.31580615303
34.0	97805.60095726824
35.0	101424.02930700207
36.0	103735.53355436563
37.0	104243.69434531135
38.0	100794.26063441753
39.0	100852.41882610293
40.0	102209.7394693102
41.0	102488.51412526566
42.0	108521.50558047432
43.0	109738.08233667517
44.0	109695.47001667696
45.0	109537.93158427719
46.0	108151.72234964209
47.0	108827.24663754767
48.0	109271.12697835847
49.0	110473.74499615612
50.0	112963.70174156768
51.0	112781.69603114616
52.0	113930.69950684336
53.0	114585.72682006125
54.0	115700.93637011472
55.0	117768.39160216358
56.0	117121.20906963512
57.0	117200.72221932249
58.0	115685.20244584176
59.0	116086.288088869
60.0	118577.10934428107
61.0	121869.26806957767
62.0	123838.5641540715
63.0	121950.3994006126
64.0	124033.09007727938
65.0	126305.53266513474
66.0	127955.21769902809
67.0	129214.72943154581
68.0	130080.25982868885
69.0	131125.30761203903
70.0	133359.65672016834
71.0	135700.33256725327
72.0	137462.62065640045
73.0	137746.66807573926
74.0	137039.870651868
75.0	137264.51411371282
76.0	136360.27398037765
77.0	134605.32261334092
78.0	133964.2594118092
79.0	133777.22559944825
80.0	131806.18233040144
81.0	130440.95889565833
82.0	128576.26543667207
83.0	121715.30102292412
84.0	115191.08178048042
85.0	112461.63410614716
86.0	100072.70816692157
87.0	94877.27513007153
88.0	88421.64382374681
89.0	78157.19738518409
90.0	71025.3112652747
91.0	63731.326291257756
92.0	53776.14122892578
93.0	48264.15356773693
94.0	38347.651668189974
95.0	29417.353951802153
96.0	20763.17657448182
97.0	11598.142386763115
98.0	7482.672120412853
99.0	3077.500544545969
