#Transcript position	Transcript coverage profile
0.0	175837.7542776959
1.0	180032.53205738644
2.0	182359.93034752918
3.0	185407.8682168592
4.0	189625.84900031955
5.0	194710.61853117053
6.0	199788.46352490928
7.0	205265.62356190514
8.0	208264.14144741124
9.0	211219.43311727192
10.0	215662.096172927
11.0	220370.13740415339
12.0	226676.18436400846
13.0	230633.2398410228
14.0	234122.90693168208
15.0	240311.06540035497
16.0	238709.7046527433
17.0	238521.17366919323
18.0	237284.26748469853
19.0	239507.56826612537
20.0	243293.2102582077
21.0	246468.2279683393
22.0	250390.01861301166
23.0	254828.1304060661
24.0	258705.8304204093
25.0	261878.39836937646
26.0	266082.18416576134
27.0	270037.3692641659
28.0	273107.3982121569
29.0	275465.51720335544
30.0	276611.0759900451
31.0	284493.5590455418
32.0	288332.68153769267
33.0	291129.692620661
34.0	293743.42374162504
35.0	299898.6884909825
36.0	303519.6455937767
37.0	305629.89623787
38.0	303105.1925752844
39.0	304342.11901188694
40.0	307482.44292517984
41.0	308524.766200358
42.0	315278.5263485387
43.0	318049.3699094105
44.0	319444.4380083772
45.0	320332.802256696
46.0	320940.4710196989
47.0	322207.728091573
48.0	324024.38314043335
49.0	325661.0742262639
50.0	328970.5675469855
51.0	329812.97146420146
52.0	331659.3068466536
53.0	333168.5091710599
54.0	334642.9691150338
55.0	338016.74205940746
56.0	339067.67317440314
57.0	341256.9395770939
58.0	341529.56719830714
59.0	342985.13010444853
60.0	346755.1317600908
61.0	350787.697879625
62.0	354062.993404708
63.0	354095.91713064234
64.0	357295.9346810203
65.0	359993.0706222275
66.0	362867.63223901915
67.0	365373.7197193974
68.0	366366.0421561819
69.0	368506.7601304521
70.0	371874.44587975496
71.0	376394.30065386684
72.0	380587.1340052312
73.0	382730.1021066463
74.0	383866.974749996
75.0	386684.002895319
76.0	388000.85610757925
77.0	388507.89000979695
78.0	388431.2073020596
79.0	388921.87542839843
80.0	387438.45987829386
81.0	386251.44694179116
82.0	384703.2691138992
83.0	377046.05761313275
84.0	368295.3807457053
85.0	362615.3129865565
86.0	345399.11708957213
87.0	334764.46845721145
88.0	322316.8775438609
89.0	302297.3613950709
90.0	283864.5321484887
91.0	263514.81395983975
92.0	239215.08089686758
93.0	217054.13437591403
94.0	189263.08142045478
95.0	159722.8279935218
96.0	126037.73292730952
97.0	87620.63749843571
98.0	51390.1566223301
99.0	16756.62552072716
